ciclo	tratamento	linha_entrelinha	profundidade	bloco	ds	ds_max	grau_de_compactacao	argila	silte	areia	macro	micro	pt	dp	rp	dmp	macroagregado	ssi	p_resina	mos	ph	k	ca	mg	h_al	c	est_c	n	n_g_kg	est_n
4	amendoim_cm	el	0_20	b3	1.71	1.83	93.6	224.4	102.8	673	0.06	0.31	0.37	2.69	1.21	0.35	0.89	0.03	2.2	11.8	5.16	0.82	9.6	6.1	17.6	5.51	12.29	0.10	1.04	1.07
4	amendoim_cm	el	20_30	b1	1.73	1.8	96.32	267	102	631	0.05	0.3	0.36	2.7	0.58	0.29	0.36	0.03	2	11	4.9	0.2	9	7	16	5.46	9.39	0.03	0.26	0.45
4	amendoim_cm	el	20_30	b2	1.73	1.8	96.39	267	102	631	0.07	0.36	0.43	2.7	0.63	0.33	0.42	0.02	1	11	5.3	0.5	12	6	15	4.92	8.47	0.03	0.26	0.45
4	amendoim_cm	el	20_30	b3	1.59	1.79	88.69	267	102	631	0.08	0.33	0.41	2.7	0.91	0.28	0.36	0.03	2	11	5.3	0.8	12	6.5	18	6.06	10.42	0.05	0.46	0.79
4	amendoim_cm	el	30_70	b1	1.65	1.76	94.23	322	107	571	0.06	0.35	0.41	2.69	0.65	0.31	0.95	0.02	1	10	4.9	0.1	12	5	18	5.41	34.86	0.03	0.34	2.15
4	amendoim_cm	el	30_70	b2	1.66	1.76	94.61	322	107	571	0.03	0.35	0.38	2.69	0.75	0.23	0.7	0.02	1	11	5.4	0.35	15	6	15	5.04	32.48	0.03	0.34	2.15
4	amendoim_cm	el	30_70	b3	1.55	1.76	88	322	107	571	0.08	0.34	0.43	2.69	1.01	0.39	0.85	0.02	1	10	5.2	0.6	11	8	18	5.01	32.28	0.07	0.66	4.24
4	amendoim_cm	l	0_20	b1	1.69	1.82	92.84	224.4	102.8	673	0.08	0.29	0.37	2.69	0.86	0.48	3.46	0.04	4	13.2	4.34	1.3	10.3	5.2	24.7	6.61	14.89	0.66	6.58	0.68
4	amendoim_cm	l	0_20	b2	1.76	1.83	95.9	224.4	102.8	673	0.07	0.29	0.36	2.69	0.96	0.44	2.62	0.03	1.4	11	5.1	1.28	10.6	5	17.2	5.14	11.38	0.55	5.46	0.55
4	amendoim_cm	l	0_20	b3	1.69	1.83	92.65	224.4	102.8	673	0.06	0.31	0.37	2.69	1.39	0.38	2.42	0.03	2.2	12	4.95	0.88	10.4	5.8	19	5.88	13.09	0.59	5.89	0.60
