ciclo	tratamento	linha_entrelinha	profundidade	bloco	ds	ds_max	grau_de_compactacao	argila	silte	areia	macro	micro	pt	dp	rp	dmp	macroagregado	ssi	p_resina	mos	ph	k	ca	mg	h_al	c	est_c	n	n_g_kg	est_n
4	sorgo_cm	el	20_30	b1	1.81	1.8	100.47	267	102	631	0.02	0.31	0.33	2.7	0.61	0.35	0.77	0.02	1	11	4.8	0.4	8	6	18	4.89	8.41	0.00	0.00	0.00
4	sorgo_cm	el	20_30	b2	1.69	1.79	93.98	267	102	631	0.02	0.36	0.38	2.7	0.69	0.33	1	0.03	3	9	5.1	0.45	11	7	20	5.96	10.25	0.00	0.00	0.00
4	sorgo_cm	el	20_30	b3	1.69	1.81	93.64	267	102	631	0.04	0.33	0.37	2.7	0.65	0.25	0.61	0.02	3	8	5.5	0.5	9.5	4	19	3.32	5.71	0.00	0.00	0.00
4	sorgo_cm	el	30_70	b1	1.55	1.75	88.51	322	107	571	0.11	0.31	0.42	2.69	0.65	0.32	1.7	0.02	1	10	4.7	0.3	11	4	20	5.84	37.64	0.04	0.40	2.58
4	sorgo_cm	el	30_70	b2	1.54	1.76	87.34	322	107	571	0.13	0.3	0.43	2.69	0.85	0.34	1.29	0.02	3	10	5.1	0.4	11	7	18	4.88	31.42	0.00	0.00	0.00
4	sorgo_cm	el	30_70	b3	1.63	1.76	92.63	322	107	571	0.06	0.33	0.39	2.69	0.75	0.3	0.98	0.02	5	11	5.3	0.5	8	5	15	4.76	30.65	0.00	0.00	0.00
4	sorgo_cm	l	0_20	b1	1.62	1.83	88.41	224.4	102.8	673	0.1	0.28	0.38	2.69	0.75	0.49	2.8	0.03	2	12.4	4.18	1.5	4.4	4.9	26.2	5.53	10.87	0.05	0.50	0.54
4	sorgo_cm	l	0_20	b2	1.67	1.83	91.43	224.4	102.8	673	0.07	0.31	0.38	2.69	0.78	0.45	2.26	0.03	3.9	11.6	4.54	1.26	9.9	6.6	27.4	5.47	11.67	0.04	0.40	0.52
4	sorgo_cm	l	0_20	b3	1.74	1.84	94.45	224.4	102.8	673	0.08	0.27	0.36	2.69	0.91	0.43	1.98	0.02	2.8	8.8	5.32	1	6.6	3.8	26.8	4	8.36	0.05	0.54	0.58
4	sorgo_cm	l	20_30	b1	1.71	1.8	94.87	267	102	631	0.11	0.25	0.37	2.7	0.79	0.29	0.77	0.02	1	10	4	1	2	4	25	4.81	7.5	0.05	0.50	0.91
4	sorgo_cm	l	20_30	b2	1.58	1.8	87.79	267	102	631	0.08	0.34	0.42	2.7	0.67	0.45	1.2	0.03	3	11	4.5	0.8	10	5	25	5.42	8.46	0.07	0.67	1.23
4	sorgo_cm	l	20_30	b3	1.72	1.81	95.32	267	102	631	0.1	0.26	0.36	2.7	0.92	0.43	0.96	0.02	3	7	5.3	0.6	6	3	25	3.32	5.18	0.04	0.35	0.65
4	sorgo_cm	l	30_70	b1	1.48	1.76	83.73	322	107	571	0.14	0.31	0.45	2.69	1.09	0.37	2.2	0.02	1	13	4.1	0.5	8	3.5	31	3.9	26.36	0.04	0.40	2.98
4	sorgo_cm	l	30_70	b2	1.6	1.76	91.1	322	107	571	0.08	0.32	0.4	2.69	1.09	0.39	1.83	0.02	3	10	4.6	0.6	9	5	25	4.52	30.53	0.08	0.79	5.82
4	sorgo_cm	l	30_70	b3	1.7	1.77	96.44	322	107	571	0.1	0.27	0.37	2.69	1.1	0.35	2.16	0.01	4	7	5.2	0.7	4	2	28	3.28	22.17	0.03	0.28	2.07
4	sorgo_pd	el	0_20	b1	1.62	1.83	88.75	224.4	102.8	673	0.08	0.31	0.39	2.69	0.59	0.47	2.36	0.03	2.8	11	4.34	0.9	3.8	2.4	17.6	5.92	13.3	0.03	0.30	0.35
4	sorgo_pd	el	0_20	b2	1.65	1.83	90.09	224.4	102.8	673	0.05	0.34	0.39	2.69	0.79	0.45	2.39	0.03	3.4	12.8	6	0.85	5.6	3.2	15.6	5.82	12.18	0.02	0.17	0.14
4	sorgo_pd	el	0_20	b3	1.74	1.84	94.55	224.4	102.8	673	0.07	0.28	0.35	2.69	0.76	0.35	1.65	0.02	2.6	9.2	5.1	0.76	7.4	4	13	4.18	9.2	0.00	0.00	0.00
4	sorgo_pd	el	20_30	b1	1.55	1.8	86.27	267	102	631	0.09	0.34	0.43	2.7	0.66	0.4	1.17	0.03	2	11	4.5	0.6	4	2	12.5	5.77	9.92	0.03	0.29	0.50
4	sorgo_pd	el	20_30	b2	1.66	1.8	92.19	267	102	631	0.05	0.37	0.42	2.7	0.75	0.34	1.39	0.02	3	13	6.1	0.65	5	3	13	4.26	7.33	0.00	0.00	0.00
4	sorgo_pd	el	20_30	b3	1.7	1.81	94.22	267	102	631	0.09	0.28	0.37	2.7	0.88	0.3	1.08	0.02	3	8	5	0.7	6	4	12	3.75	6.44	0.00	0.00	0.00
4	sorgo_pd	el	30_70	b1	1.51	1.76	86.07	322	107	571	0.09	0.35	0.44	2.69	0.7	0.37	1.57	0.02	2	9	4.5	0.4	3	3	13.5	5.36	34.52	0.04	0.36	2.28
4	sorgo_pd	el	30_70	b2	1.59	1.76	90.25	322	107	571	0.07	0.34	0.41	2.69	0.82	0.48	1.98	0.02	5	10	6.2	0.5	4	3	15	4.77	30.73	0.00	0.00	0.00
4	sorgo_pd	el	30_70	b3	1.64	1.76	93.16	322	107	571	0.11	0.28	0.39	2.69	0.94	0.34	1.25	0.02	3	8	5.1	0.6	5	3	12	3.75	24.12	0.00	0.00	0.00
4	sorgo_pd	l	0_20	b1	1.58	1.83	86.67	224.4	102.8	673	0.09	0.31	0.4	2.69	0.69	0.72	3.43	0.03	3.4	11.4	3.96	1.46	4	5.7	32.2	6.2	14.11	0.05	0.55	0.61
4	sorgo_pd	l	0_20	b2	1.66	1.83	90.83	224.4	102.8	673	0.07	0.31	0.38	2.69	0.78	0.54	3.25	0.03	2.4	11.6	4.78	0.97	7	7	21	5.54	12.08	0.06	0.59	0.63
4	sorgo_pd	l	0_20	b3	1.64	1.83	89.71	224.4	102.8	673	0.07	0.32	0.39	2.69	0.8	0.6	3.13	0.03	2.4	11.4	4.98	0.9	7.4	4.8	15.6	4.82	10.72	0.04	0.44	0.49
4	sorgo_pd	l	20_30	b1	1.52	1.79	84.59	267	102	631	0.11	0.33	0.44	2.7	0.73	0.65	8.22	0.03	2	11	4	0.7	5	6	34	6.44	10.05	0.04	0.43	0.78
4	sorgo_pd	l	20_30	b2	1.58	1.8	87.98	267	102	631	0.07	0.34	0.41	2.7	0.7	0.47	6.34	0.02	2	11	4.9	0.9	6	8	20	5.29	8.26	0.04	0.39	0.71
4	sorgo_pd	l	20_30	b3	1.66	1.8	91.92	267	102	631	0.09	0.3	0.39	2.7	0.75	0.63	7.66	0.02	3	9	5	0.7	7	4	15	4.36	6.8	0.04	0.40	0.73
4	sorgo_pd	l	30_70	b1	1.53	1.75	87.23	322	107	571	0.1	0.33	0.43	2.69	0.66	1.06	0.98	0.02	2	10	4.2	1.1	4	4	25	5.82	39.37	0.04	0.43	3.17
4	sorgo_pd	l	30_70	b2	1.69	1.76	95.94	322	107	571	0.05	0.32	0.37	2.69	0.75	0.75	0.78	0.02	2	9	5	0.85	9	6	20	4.76	32.2	0.06	0.62	4.62
4	sorgo_pd	l	30_70	b3	1.58	1.76	89.63	322	107	571	0.07	0.35	0.41	2.69	0.71	0.91	0.55	0.02	2	9	5.3	0.6	7	6	15	4.47	30.19	0.10	0.96	7.11
4	sorgo_pp	el	0_20	b1	1.72	1.82	94.12	224.4	102.8	673	0.05	0.31	0.36	2.69	0.7	0.54	1.79	0.04	2.2	13	4.62	1	8.5	4.9	24.4	6.59	13.29	0.05	0.53	0.59
4	sorgo_pp	el	0_20	b2	1.76	1.83	96.13	224.4	102.8	673	0.08	0.28	0.36	2.69	0.93	0.49	1.59	0.03	4	13.4	4.52	0.96	8.8	5.2	22.4	6.13	13.41	0.03	0.28	0.23
4	sorgo_pp	el	0_20	b3	1.65	1.83	90.34	224.4	102.8	673	0.06	0.31	0.37	2.69	0.82	0.51	1.85	0.03	3.6	13	4.98	1.04	9.4	5.4	24.9	5.88	12.49	0.04	0.39	0.41
4	sorgo_pp	el	20_30	b1	1.64	1.79	91.42	267	102	631	0.05	0.34	0.39	2.7	0.52	0.67	1.63	0.03	1	11	4.6	0.6	9	5	25	6.08	10.46	0.04	0.43	0.73
4	sorgo_pp	el	20_30	b2	1.61	1.79	90.17	267	102	631	0.11	0.29	0.4	2.7	0.94	0.42	1.95	0.03	3	15	4.5	0.7	8	6	25	7.2	12.38	0.07	0.65	1.12
4	sorgo_pp	el	20_30	b3	1.63	1.8	90.68	267	102	631	0.06	0.33	0.4	2.7	0.73	0.34	1.33	0.02	3	10	5.2	0.8	7	4	25	4.8	8.25	0.00	0.00	0.00
4	sorgo_pp	el	30_70	b1	1.73	1.76	98.16	322	107	571	0.04	0.32	0.36	2.69	0.49	0.27	2.62	0.02	1	9	4.5	0.3	4	5	25	4.66	30.02	0.00	0.00	0.00
4	sorgo_pp	el	30_70	b2	1.73	1.76	98.31	322	107	571	0.06	0.3	0.36	2.69	0.62	0.33	2.5	0.02	3	11	4.7	0.45	6	8	22	5.31	34.19	0.00	0.00	0.00
4	sorgo_pp	el	30_70	b3	1.47	1.76	83.91	322	107	571	0.06	0.33	0.39	2.69	0.55	0.38	3.07	0.02	3	10	4.6	0.6	8	7	31	4.99	32.14	0.06	0.61	3.88
4	sorgo_pp	l	0_20	b1	1.59	1.82	87.27	224.4	102.8	673	0.1	0.29	0.39	2.69	0.99	0.53	3.16	0.04	2.6	14.4	4.44	1.48	8	6	28	7.32	14.29	0.05	0.52	0.60
4	sorgo_pp	l	0_20	b2	1.74	1.82	95.7	224.4	102.8	673	0.09	0.3	0.38	2.69	0.91	0.42	2.98	0.04	3.8	13.6	4.9	1.26	10.1	7	21.2	6.9	14.02	0.07	0.71	0.79
4	sorgo_pp	l	0_20	b3	1.66	1.83	91.02	224.4	102.8	673	0.08	0.31	0.38	2.69	1.25	0.54	3.5	0.03	2.8	11.8	4.86	1.32	9	4	23.6	5.82	11.2	0.05	0.45	0.47
4	sorgo_pp	l	20_30	b1	1.64	1.79	91.45	267	102	631	0.13	0.27	0.39	2.7	0.93	0.6	5.86	0.03	2	12	4.3	0.7	8	6	28	6.24	9.73	0.04	0.39	0.72
4	sorgo_pp	l	20_30	b2	1.7	1.8	94.74	267	102	631	0.08	0.29	0.37	2.7	1.05	0.5	6.66	0.03	2	11	4.9	0.7	8.5	8	22	5.74	8.95	0.04	0.44	0.80
4	sorgo_pp	l	20_30	b3	1.63	1.8	90.53	267	102	631	0.08	0.32	0.4	2.7	1.18	0.64	7.93	0.02	2	11	5.3	0.7	9	5	25	5.13	8	0.05	0.45	0.82
4	sorgo_pp	l	30_70	b1	1.69	1.76	96.23	322	107	571	0.03	0.34	0.37	2.69	0.65	0.47	1.17	0.02	1	10	4.5	0.4	7	7	25	5.04	34.1	0.04	0.37	2.76
4	sorgo_pp	l	30_70	b2	1.72	1.76	97.78	322	107	571	0.06	0.31	0.36	2.69	0.84	0.43	2	0.02	2	10	5	0.45	6.5	7	20	5.35	36.19	0.03	0.25	1.86
4	sorgo_pp	l	30_70	b3	1.69	1.76	95.55	322	107	571	0.07	0.3	0.37	2.69	0.97	0.52	1.44	0.01	2	8	5.3	0.5	6	4	22.5	3.73	25.21	0.04	0.36	2.65
